channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
14571.stations.xmltv.tvmedia.ca,MC - Solid Gold Oldies,,,,,Y
14572.stations.xmltv.tvmedia.ca,MC - Party Favorites,,,,,Y
14573.stations.xmltv.tvmedia.ca,MC - Stage & Screen,,,,,Y
14574.stations.xmltv.tvmedia.ca,MC - Kidz Only!,,,,,Y
14575.stations.xmltv.tvmedia.ca,MC - Toddler Tunes,,,,,Y
14576.stations.xmltv.tvmedia.ca,MC - Today's Country,,,,,Y
14577.stations.xmltv.tvmedia.ca,MC - Hip-Hop and R&B,,,,,Y
14578.stations.xmltv.tvmedia.ca,MC - Country Hits,,,,,Y
14579.stations.xmltv.tvmedia.ca,MC - Classic Country,,,,,Y
14580.stations.xmltv.tvmedia.ca,MC - Contemporary Christian,,,,,Y
14581.stations.xmltv.tvmedia.ca,MC - Sounds of The Seasons,,,,,Y
