"type","last_write","size_bytes","src_path","dst_path"
"epg","22/11/25 11:55:20 AM","1780826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\7963BB311D__sat.tv_ar.channels.xml"
"epg","12/11/24 10:59:07 AM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","12/11/24 10:59:07 AM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","12/11/24 10:59:07 AM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","12/11/24 10:59:07 AM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","04/11/24 2:47:10 PM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","04/11/24 2:47:10 PM","1780439","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\C5855759F9__sat.tv_ar.channels.xml"
"epg","26/09/25 10:40:03 AM","1780427","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\sat.tv\sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\0C69D83EE7__sat.tv_ar.channels.xml"
"epg","12/11/24 10:59:07 AM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
"epg","12/11/24 10:59:07 AM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
"epg","12/11/24 10:59:07 AM","1712659","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\tvpassport.com\tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\06B9F4A1C2__tvpassport.com.channels.xml"
