tag,site,name,xmltv_id,lang,site_id,source_file
tvguide.com,tvguide.com,Science,Science.us@East,en,9200019847,tvguide.com.channels.xml
tvinsider.com,tvinsider.com,Science Channel,,en,science-channel,tvinsider.com.channels.xml
streamingtvguides.com,streamingtvguides.com,Science Channel HD,,en,SCIHD,streamingtvguides.com.channels.xml
directv.com,directv.com,Science HD,Science.us@East,en,284#8232,directv.com.channels.xml
streamingtvguides.com,streamingtvguides.com,Scientology Media Productions,,en,SCNTV,streamingtvguides.com.channels.xml
directv.com,directv.com,Scientology Network,ScientologyNetwork.us@SD,en,320#323,directv.com.channels.xml
streamingtvguides.com,streamingtvguides.com,Scientology Network,,en,DTV:SCNTV:320,streamingtvguides.com.channels.xml
streamingtvguides.com,streamingtvguides.com,SCM International,,en,SCM,streamingtvguides.com.channels.xml
pluto.tv,pluto.tv,Scooore,,de,660e97bce8fba8000853d43f,pluto.tv_de.channels.xml
pluto.tv,pluto.tv,Scorpion,,da,63a1caefc8d285000799e8af,pluto.tv_dk.channels.xml
pluto.tv,pluto.tv,Scorpion,,sv,63a1c9c2847a090007f248da,pluto.tv_sv.channels.xml
pluto.tv,pluto.tv,Scorpion,,no,63a1c959d9dd51000825d659,pluto.tv_no.channels.xml
pluto.tv,pluto.tv,Scorpion,,it,65cb750311ced700082066b5,pluto.tv_it.channels.xml
pluto.tv,pluto.tv,Scorpion,,de,66c6fb43489bab0008b6f7cd,pluto.tv_de.channels.xml
epgshare01.online,epgshare01.online,ScreenPix,,en,US1#ScreenPix.us,epgshare01.online_US1.channels.xml
streamingtvguides.com,streamingtvguides.com,ScreenPix,,en,SCRNPIX,streamingtvguides.com.channels.xml
epgshare01.online,epgshare01.online,ScreenPix Action,,en,US1#ScreenPix.Action.us,epgshare01.online_US1.channels.xml
streamingtvguides.com,streamingtvguides.com,ScreenPix Action,,en,SCRNACT,streamingtvguides.com.channels.xml
streamingtvguides.com,streamingtvguides.com,ScreenPix Action SD,,en,SCACTSD,streamingtvguides.com.channels.xml
